order_id,customer_id,customer_name,order_date,product_category,product_subcategory,product_name,quantity,unit_price,discount,shipping_cost,payment_method,shipping_mode,city,state,region,order_status,customer_age,customer_gender,revenue,gross_revenue,discount_amount,net_revenue,profit_margin,year,month,month_name,quarter,week,day_of_week,is_weekend,is_delivered,is_returned
ORD00001,CUST0760,Customer_760,2024-05-20,Beauty,Skincare,Skincare Item 33,2.0,11199.38,0.29,338.35,Cash on Delivery,Standard,Mumbai,Maharashtra,West,Cancelled,59.0,Female,15903.12,22398.76,6495.64,15564.77,0.6949,2024,5,May,2,21,Monday,False,0,0
ORD00002,CUST0285,Customer_285,2024-01-04,Clothing,Footwear,Footwear Item 39,2.0,34922.06,0.14,77.74,UPI,Standard,Lucknow,Uttar Pradesh,North,Pending,25.0,Female,60065.94,69844.12,9778.18,59988.2,0.8589,2024,1,Jan,1,1,Thursday,False,0,0
ORD00003,CUST0644,Customer_644,2024-11-12,Electronics,Cameras,Cameras Item 18,3.0,28888.74,0.28,22.91,Net Banking,Same Day,Chennai,Tamil Nadu,South,Delivered,31.0,Other,62399.68,86666.22,24266.54,62376.77,0.7197,2024,11,Nov,4,46,Tuesday,False,1,0
ORD00004,CUST0651,Customer_651,2024-03-28,Beauty,Skincare,Skincare Item 50,5.0,36469.88,0.07,189.73,Credit Card,Express,Lucknow,Uttar Pradesh,North,Delivered,43.0,Male,169584.94,182349.4,12764.46,169395.21,0.929,2024,3,Mar,1,13,Thursday,False,1,0
ORD00005,CUST0672,Customer_672,2024-09-12,Sports,Football,Football Item 38,4.0,44239.92,0.26,71.44,Net Banking,Same Day,Hyderabad,Telangana,South,Delivered,26.0,Male,130950.16,176959.68,46009.52,130878.72,0.7396,2024,9,Sep,3,37,Thursday,False,1,0
ORD00006,CUST0643,Customer_643,2024-03-22,Electronics,Smartphones,Smartphones Item 8,4.0,29840.63,0.15,297.94,Wallet,Same Day,Bengaluru,Karnataka,South,Pending,36.0,Female,101458.14,119362.52,17904.38,101160.2,0.8475,2024,3,Mar,1,12,Friday,False,0,0
ORD00007,CUST0781,Customer_781,2024-04-01,Electronics,Headphones,Headphones Item 50,5.0,45635.76,0.35,149.22,Cash on Delivery,Standard,Jaipur,Rajasthan,North,Cancelled,19.0,Female,148316.22,228178.8,79862.58,148167.0,0.6493,2024,4,Apr,2,14,Monday,False,0,0
ORD00008,CUST0247,Customer_247,2024-10-17,Home & Kitchen,Furniture,Furniture Item 17,1.0,4328.39,0.19,34.61,Cash on Delivery,Economy,Mumbai,Maharashtra,West,Delivered,64.0,Other,3506.0,4328.39,822.39,3471.39,0.802,2024,10,Oct,4,42,Thursday,False,1,0
ORD00009,CUST0449,Customer_449,2024-09-21,Home & Kitchen,Appliances,Appliances Item 15,4.0,6094.16,0.09,169.04,Credit Card,Standard,Kolkata,West Bengal,East,Delivered,33.0,Female,22182.74,24376.64,2193.9,22013.7,0.9031,2024,9,Sep,3,38,Saturday,True,1,0
ORD00010,CUST0741,Customer_741,2024-10-19,Clothing,Accessories,Accessories Item 47,5.0,23659.92,0.31,403.75,Credit Card,Standard,Bengaluru,Karnataka,South,Delivered,39.0,Male,81626.72,118299.6,36672.88,81222.97,0.6866,2024,10,Oct,4,42,Saturday,True,1,0
ORD00011,CUST0550,Customer_550,2024-08-17,Clothing,Women's Wear,Women's Wear Item 35,2.0,21122.99,0.11,124.9,Credit Card,Standard,Hyderabad,Telangana,South,Delivered,49.0,Female,37598.92,42245.98,4647.06,37474.02,0.887,2024,8,Aug,3,33,Saturday,True,1,0
ORD00012,CUST0003,Customer_3,2024-07-18,Electronics,Laptops,Laptops Item 13,3.0,46329.58,0.31,142.62,UPI,Express,Pune,Maharashtra,West,Delivered,52.0,Female,95902.23,138988.74,43086.51,95759.61,0.689,2024,7,Jul,3,29,Thursday,False,1,0
ORD00013,CUST0489,Customer_489,2024-09-14,Electronics,Smartphones,Smartphones Item 37,5.0,7913.76,0.38,40.06,Debit Card,Standard,Lucknow,Uttar Pradesh,North,Cancelled,60.0,Other,24532.66,39568.8,15036.14,24492.6,0.619,2024,9,Sep,3,37,Saturday,True,0,0
ORD00014,CUST0686,Customer_686,2024-06-09,Home & Kitchen,Decor,Decor Item 7,2.0,74154.525,0.05,322.75,Credit Card,Express,Hyderabad,Telangana,South,Cancelled,40.0,Male,140893.6,148309.05,7415.45,140570.85,0.9478,2024,6,Jun,2,23,Sunday,True,0,0
