order_id,customer_id,product_key,geo_key,date_key,quantity,unit_price,discount,shipping_cost,gross_revenue,discount_amount,revenue,net_revenue,profit_margin,is_delivered,is_returned,payment_method,shipping_mode,order_status
ORD00001,CUST0760,1,1,20240520,2.0,11199.38,0.29,338.35,22398.76,6495.64,15903.12,15564.77,0.6949,0,0,Cash on Delivery,Standard,Cancelled
ORD00002,CUST0285,2,2,20240104,2.0,34922.06,0.14,77.74,69844.12,9778.18,60065.94,59988.2,0.8589,0,0,UPI,Standard,Pending
ORD00003,CUST0644,3,3,20241112,3.0,28888.74,0.28,22.91,86666.22,24266.54,62399.68,62376.77,0.7197,1,0,Net Banking,Same Day,Delivered
ORD00004,CUST0651,4,2,20240328,5.0,36469.88,0.07,189.73,182349.4,12764.46,169584.94,169395.21,0.929,1,0,Credit Card,Express,Delivered
ORD00005,CUST0672,5,4,20240912,4.0,44239.92,0.26,71.44,176959.68,46009.52,130950.16,130878.72,0.7396,1,0,Net Banking,Same Day,Delivered
ORD00006,CUST0643,6,5,20240322,4.0,29840.63,0.15,297.94,119362.52,17904.38,101458.14,101160.2,0.8475,0,0,Wallet,Same Day,Pending
ORD00007,CUST0781,7,6,20240401,5.0,45635.76,0.35,149.22,228178.8,79862.58,148316.22,148167.0,0.6493,0,0,Cash on Delivery,Standard,Cancelled
ORD00008,CUST0247,8,1,20241017,1.0,4328.39,0.19,34.61,4328.39,822.39,3506.0,3471.39,0.802,1,0,Cash on Delivery,Economy,Delivered
ORD00009,CUST0449,9,7,20240921,4.0,6094.16,0.09,169.04,24376.64,2193.9,22182.74,22013.7,0.9031,1,0,Credit Card,Standard,Delivered
ORD00010,CUST0741,10,5,20241019,5.0,23659.92,0.31,403.75,118299.6,36672.88,81626.72,81222.97,0.6866,1,0,Credit Card,Standard,Delivered
ORD00011,CUST0550,11,4,20240817,2.0,21122.99,0.11,124.9,42245.98,4647.06,37598.92,37474.02,0.887,1,0,Credit Card,Standard,Delivered
ORD00012,CUST0003,12,8,20240718,3.0,46329.58,0.31,142.62,138988.74,43086.51,95902.23,95759.61,0.689,1,0,UPI,Express,Delivered
ORD00013,CUST0489,13,2,20240914,5.0,7913.76,0.38,40.06,39568.8,15036.14,24532.66,24492.6,0.619,0,0,Debit Card,Standard,Cancelled
ORD00014,CUST0686,14,4,20240609,2.0,74154.525,0.05,322.75,148309.05,7415.45,140893.6,140570.85,0.9478,0,0,Credit Card,Express,Cancelled
ORD00015,CUST0449,15,5,20241005,3.0,25948.52,0.39,326.99,77845.56,30359.77,47485.79,47158.8,0.6058,1,0,UPI,Standard,Delivered
ORD00016,CUST0704,16,4,20241120,3.0,25295.18,0.1,454.08,75885.54,7588.55,68296.99,67842.91,0.894,1,0,Wallet,Same Day,Delivered
ORD00017,CUST0708,17,9,20240317,5.0,1849.61,0.15,276.26,9248.05,1387.21,7860.84,7584.58,0.8201,0,0,UPI,Express,Pending
ORD00018,CUST0243,18,5,20240324,2.0,44076.74,0.01,368.28,88153.48,881.53,87271.95,86903.67,0.9858,0,1,Debit Card,Standard,Returned
ORD00019,CUST0229,19,4,20240113,2.0,19953.38,0.11,34.71,39906.76,4389.74,35517.02,35482.31,0.8891,1,0,Credit Card,Standard,Delivered
ORD00020,CUST0447,20,7,20241106,5.0,5826.51,0.36,95.04,29132.55,10487.72,18644.83,18549.79,0.6367,1,0,Wallet,Express,Delivered
ORD00021,CUST0520,21,3,20240607,4.0,16342.84,0.28,277.21,65371.36,18303.98,47067.38,46790.17,0.7158,0,0,UPI,Economy,Cancelled
ORD00022,CUST0477,22,7,20240814,4.0,33797.58,0.2,396.87,135190.32,27038.06,108152.26,107755.39,0.7971,1,0,UPI,Standard,Delivered
ORD00023,CUST0487,23,4,20241108,1.0,22798.04,0.35,287.84,22798.04,7979.31,14818.73,14530.89,0.6374,1,0,Credit Card,Economy,Delivered
ORD00024,CUST0468,24,9,20240309,4.0,33395.51,0.4,297.73,133582.04,53432.82,80149.22,79851.49,0.5978,0,0,Net Banking,Express,Pending
ORD00025,CUST0497,25,6,20241116,2.0,13766.14,0.03,142.86,27532.28,825.97,26706.31,26563.45,0.9648,1,0,Debit Card,Express,Delivered
ORD00026,CUST0399,26,8,20241026,1.0,25928.08,0.31,190.19,25928.08,8037.7,17890.38,17700.19,0.6827,0,1,Cash on Delivery,Express,Returned
ORD00027,CUST0479,27,5,20240306,5.0,26729.48,0.36,295.95,133647.4,48113.06,85534.34,85238.39,0.6378,1,0,Net Banking,Same Day,Delivered
ORD00028,CUST0084,28,3,20240828,1.0,37463.76,0.02,475.96,37463.76,749.28,36714.48,36238.52,0.9673,0,0,Debit Card,Standard,Cancelled
ORD00029,CUST0717,29,10,20240511,3.0,8431.07,0.24,373.96,25293.21,6070.37,19222.84,18848.88,0.7452,0,1,Cash on Delivery,Economy,Returned
ORD00030,CUST0714,30,9,20240603,5.0,40286.12,0.32,282.97,201430.6,64457.79,136972.81,136689.84,0.6786,1,0,Net Banking,Economy,Delivered
ORD00031,CUST0181,31,8,20240924,3.0,30814.82,0.37,387.32,92444.46,34204.45,58240.01,57852.69,0.6258,1,0,UPI,Economy,Delivered
ORD00032,CUST0333,32,10,20240403,4.0,74154.525,0.32,170.17,296618.1,94917.79,201700.31,201530.14,0.6794,0,0,Net Banking,Economy,Cancelled
ORD00033,CUST0096,33,1,20240530,2.0,20249.84,0.1,331.98,40499.68,4049.97,36449.71,36117.73,0.8918,1,0,Wallet,Economy,Delivered
ORD00034,CUST0781,34,6,20241219,2.0,9617.47,0.3,138.25,19234.94,5770.48,13464.46,13326.21,0.6928,1,0,Debit Card,Same Day,Delivered
ORD00035,CUST0300,35,6,20241223,2.0,25928.08,0.3,51.29,51856.16,15556.85,36299.31,36248.02,0.699,1,0,Net Banking,Standard,Delivered
ORD00036,CUST0577,36,5,20240604,1.0,49696.21,0.05,382.22,49696.21,2484.81,47211.4,46829.18,0.9423,1,0,UPI,Economy,Delivered
ORD00037,CUST0271,37,4,20241204,1.0,25928.08,0.07,37.53,25928.08,1814.97,24113.11,24075.58,0.9286,1,0,UPI,Economy,Delivered
ORD00038,CUST0118,38,8,20241005,2.0,32399.35,0.36,413.32,64798.7,23327.53,41471.17,41057.85,0.6336,0,1,Net Banking,Standard,Returned
ORD00039,CUST0449,39,10,20240211,5.0,2041.05,0.17,161.16,10205.25,1734.89,8470.36,8309.2,0.8142,0,0,Wallet,Same Day,Cancelled
ORD00040,CUST0600,40,5,20240811,4.0,48454.31,0.19,204.17,193817.24,36825.28,156991.96,156787.79,0.8089,0,1,Net Banking,Standard,Returned
